row_id,itemid,sid_0,sid_1,sid_2,sid_3,sid_4,sid_offset_0,sid_offset_1,sid_offset_2,sid_offset_3,sid_offset_4,sid,sid_offset
0,103181,331,504,191,215,48,331,1016,1215,1751,1840,331-504-191-215-48,331-1016-1215-1751-1840
1,103183,73,100,214,200,163,73,612,1238,1736,1955,73-100-214-200-163,73-612-1238-1736-1955
2,103184,73,469,214,19,148,73,981,1238,1555,1940,73-469-214-19-148,73-981-1238-1555-1940
3,103186,73,202,193,28,189,73,714,1217,1564,1981,73-202-193-28-189,73-714-1217-1564-1981
4,103187,452,469,185,115,225,452,981,1209,1651,2017,452-469-185-115-225,452-981-1209-1651-2017
5,103189,73,100,359,178,147,73,612,1383,1714,1939,73-100-359-178-147,73-612-1383-1714-1939
6,103191,73,41,450,178,224,73,553,1474,1714,2016,73-41-450-178-224,73-553-1474-1714-2016
7,103192,452,469,165,54,223,452,981,1189,1590,2015,452-469-165-54-223,452-981-1189-1590-2015
8,103194,319,323,359,103,208,319,835,1383,1639,2000,319-323-359-103-208,319-835-1383-1639-2000
9,103195,73,469,214,196,99,73,981,1238,1732,1891,73-469-214-196-99,73-981-1238-1732-1891
10,103196,452,469,285,25,99,452,981,1309,1561,1891,452-469-285-25-99,452-981-1309-1561-1891
11,103201,319,323,359,103,225,319,835,1383,1639,2017,319-323-359-103-225,319-835-1383-1639-2017
12,103205,73,41,12,16,48,73,553,1036,1552,1840,73-41-12-16-48,73-553-1036-1552-1840
13,103224,73,294,144,250,214,73,806,1168,1786,2006,73-294-144-250-214,73-806-1168-1786-2006
14,108637,220,360,141,210,226,220,872,1165,1746,2018,220-360-141-210-226,220-872-1165-1746-2018
15,108665,384,150,222,144,81,384,662,1246,1680,1873,384-150-222-144-81,384-662-1246-1680-1873
16,108691,220,246,1,10,159,220,758,1025,1546,1951,220-246-1-10-159,220-758-1025-1546-1951
17,115634,116,346,22,102,34,116,858,1046,1638,1826,116-346-22-102-34,116-858-1046-1638-1826
18,115636,116,346,310,213,94,116,858,1334,1749,1886,116-346-310-213-94,116-858-1334-1749-1886
19,160286,462,249,247,50,1,462,761,1271,1586,1793,462-249-247-50-1,462-761-1271-1586-1793
20,161645,220,503,476,87,212,220,1015,1500,1623,2004,220-503-476-87-212,220-1015-1500-1623-2004
21,166398,301,123,1,117,64,301,635,1025,1653,1856,301-123-1-117-64,301-635-1025-1653-1856
22,184429,301,114,393,129,176,301,626,1417,1665,1968,301-114-393-129-176,301-626-1417-1665-1968
23,232966,476,168,421,187,243,476,680,1445,1723,2035,476-168-421-187-243,476-680-1445-1723-2035
24,240094,491,46,108,65,37,491,558,1132,1601,1829,491-46-108-65-37,491-558-1132-1601-1829
25,269353,494,125,143,35,204,494,637,1167,1571,1996,494-125-143-35-204,494-637-1167-1571-1996
26,269401,494,29,173,172,248,494,541,1197,1708,2040,494-29-173-172-248,494-541-1197-1708-2040
27,269410,494,62,210,57,84,494,574,1234,1593,1876,494-62-210-57-84,494-574-1234-1593-1876
28,273099,116,167,45,48,96,116,679,1069,1584,1888,116-167-45-48-96,116-679-1069-1584-1888
29,273108,369,148,272,73,230,369,660,1296,1609,2022,369-148-272-73-230,369-660-1296-1609-2022
30,273129,39,34,214,180,191,39,546,1238,1716,1983,39-34-214-180-191,39-546-1238-1716-1983
31,273135,58,368,114,124,128,58,880,1138,1660,1920,58-368-114-124-128,58-880-1138-1660-1920
32,273142,369,322,30,145,40,369,834,1054,1681,1832,369-322-30-145-40,369-834-1054-1681-1832
33,295129,250,236,53,19,61,250,748,1077,1555,1853,250-236-53-19-61,250-748-1077-1555-1853
34,301102,97,156,428,123,94,97,668,1452,1659,1886,97-156-428-123-94,97-668-1452-1659-1886
35,382013,73,65,329,2,100,73,577,1353,1538,1892,73-65-329-2-100,73-577-1353-1538-1892
36,402486,190,474,292,48,217,190,986,1316,1584,2009,190-474-292-48-217,190-986-1316-1584-2009
37,422005,237,204,492,31,230,237,716,1516,1567,2022,237-204-492-31-230,237-716-1516-1567-2022
38,423662,241,31,339,254,146,241,543,1363,1790,1938,241-31-339-254-146,241-543-1363-1790-1938
39,423673,364,411,466,204,254,364,923,1490,1740,2046,364-411-466-204-254,364-923-1490-1740-2046
40,502281,396,184,100,221,24,396,696,1124,1757,1816,396-184-100-221-24,396-696-1124-1757-1816
41,517776,358,370,143,25,72,358,882,1167,1561,1864,358-370-143-25-72,358-882-1167-1561-1864
42,519606,19,11,321,110,222,19,523,1345,1646,2014,19-11-321-110-222,19-523-1345-1646-2014
43,544718,39,37,346,126,38,39,549,1370,1662,1830,39-37-346-126-38,39-549-1370-1662-1830
44,556258,395,185,116,190,4,395,697,1140,1726,1796,395-185-116-190-4,395-697-1140-1726-1796
45,611082,420,322,412,31,38,420,834,1436,1567,1830,420-322-412-31-38,420-834-1436-1567-1830
46,611766,491,46,108,65,37,491,558,1132,1601,1829,491-46-108-65-37,491-558-1132-1601-1829
47,612044,491,370,268,85,237,491,882,1292,1621,2029,491-370-268-85-237,491-882-1292-1621-2029
48,612271,224,467,231,103,5,224,979,1255,1639,1797,224-467-231-103-5,224-979-1255-1639-1797
49,616066,491,506,123,99,1,491,1018,1147,1635,1793,491-506-123-99-1,491-1018-1147-1635-1793
50,616396,491,168,216,94,147,491,680,1240,1630,1939,491-168-216-94-147,491-680-1240-1630-1939
51,616423,491,7,0,115,147,491,519,1024,1651,1939,491-7-0-115-147,491-519-1024-1651-1939
52,641959,491,167,425,209,146,491,679,1449,1745,1938,491-167-425-209-146,491-679-1449-1745-1938
53,666134,84,168,312,49,245,84,680,1336,1585,2037,84-168-312-49-245,84-680-1336-1585-2037
54,678602,34,239,459,106,93,34,751,1483,1642,1885,34-239-459-106-93,34-751-1483-1642-1885
55,682478,125,343,8,127,181,125,855,1032,1663,1973,125-343-8-127-181,125-855-1032-1663-1973
56,682479,125,75,252,128,241,125,587,1276,1664,2033,125-75-252-128-241,125-587-1276-1664-2033
57,682498,339,175,90,232,61,339,687,1114,1768,1853,339-175-90-232-61,339-687-1114-1768-1853
58,711008,384,368,108,219,89,384,880,1132,1755,1881,384-368-108-219-89,384-880-1132-1755-1881
59,715909,299,108,56,240,115,299,620,1080,1776,1907,299-108-56-240-115,299-620-1080-1776-1907
60,715970,299,361,194,123,32,299,873,1218,1659,1824,299-361-194-123-32,299-873-1218-1659-1824
61,716045,384,173,122,88,32,384,685,1146,1624,1824,384-173-122-88-32,384-685-1146-1624-1824
62,716088,176,207,194,172,250,176,719,1218,1708,2042,176-207-194-172-250,176-719-1218-1708-2042
63,716104,176,173,485,7,32,176,685,1509,1543,1824,176-173-485-7-32,176-685-1509-1543-1824
64,716116,176,455,331,172,250,176,967,1355,1708,2042,176-455-331-172-250,176-967-1355-1708-2042
65,716126,176,3,40,247,23,176,515,1064,1783,1815,176-3-40-247-23,176-515-1064-1783-1815
66,716140,34,72,111,10,168,34,584,1135,1546,1960,34-72-111-10-168,34-584-1135-1546-1960
67,716148,299,204,303,223,129,299,716,1327,1759,1921,299-204-303-223-129,299-716-1327-1759-1921
68,716167,34,282,26,155,243,34,794,1050,1691,2035,34-282-26-155-243,34-794-1050-1691-2035
69,738107,157,278,221,82,25,157,790,1245,1618,1817,157-278-221-82-25,157-790-1245-1618-1817
70,759353,33,65,398,110,240,33,577,1422,1646,2032,33-65-398-110-240,33-577-1422-1646-2032
71,771437,301,123,328,26,21,301,635,1352,1562,1813,301-123-328-26-21,301-635-1352-1562-1813
72,771476,71,309,144,160,81,71,821,1168,1696,1873,71-309-144-160-81,71-821-1168-1696-1873
73,809486,73,468,241,28,169,73,980,1265,1564,1961,73-468-241-28-169,73-980-1265-1564-1961
74,878955,160,437,376,75,243,160,949,1400,1611,2035,160-437-376-75-243,160-949-1400-1611-2035
75,948359,43,305,438,97,85,43,817,1462,1633,1877,43-305-438-97-85,43-817-1462-1633-1877
76,948664,43,224,379,190,19,43,736,1403,1726,1811,43-224-379-190-19,43-736-1403-1726-1811
77,948713,43,305,438,97,85,43,817,1462,1633,1877,43-305-438-97-85,43-817-1462-1633-1877
78,970925,263,47,106,117,241,263,559,1130,1653,2033,263-47-106-117-241,263-559-1130-1653-2033
79,987362,36,134,246,158,145,36,646,1270,1694,1937,36-134-246-158-145,36-646-1270-1694-1937
80,987378,36,379,202,54,176,36,891,1226,1590,1968,36-379-202-54-176,36-891-1226-1590-1968
81,987402,36,379,112,9,187,36,891,1136,1545,1979,36-379-112-9-187,36-891-1136-1545-1979
82,992324,308,470,47,26,183,308,982,1071,1562,1975,308-470-47-26-183,308-982-1071-1562-1975
83,997427,166,168,275,42,139,166,680,1299,1578,1931,166-168-275-42-139,166-680-1299-1578-1931
84,1024096,491,22,317,164,135,491,534,1341,1700,1927,491-22-317-164-135,491-534-1341-1700-1927
85,1071435,362,21,495,16,82,362,533,1519,1552,1874,362-21-495-16-82,362-533-1519-1552-1874
